year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault
1980,AK,440142,1919,39,250,,360,1270
1980,AL,3861466,17320,509,1158,,5102,10551
1980,AR,2284037,7656,210,609,,1848,4989
1980,AZ,2715357,17673,279,1227,,5258,10909
1980,CA,23532680,210290,3411,13693,,90420,102766
1980,CO,2878407,15215,198,1510,,4608,8899
1980,CT,3095224,12768,146,670,,6749,5203
1980,DC,635233,12772,200,439,,8897,3236
1980,DE,594779,2824,41,144,,815,1824
1980,FL,9567112,94095,1387,5439,,34015,53254
1980,GA,5400851,29993,743,2391,,10670,16189
1980,HI,964680,2889,84,335,,1835,635
1980,IA,2907804,5826,63,416,,1596,3751
1980,ID,943629,2957,29,211,,442,2275
1980,IL,11355062,91753,1205,3950,,41675,44923
1980,IN,5461103,20633,485,1808,,7720,10620
1980,KS,2354783,9168,163,742,,2664,5599
1980,KY,3641479,9711,321,698,,3468,5224
1980,LA,4199542,27926,661,1867,,8271,17127
1980,MA,5728288,34444,232,1562,,13492,19158
1980,MD,4192211,35735,399,1681,,16461,17194
1980,ME,1123670,2173,32,145,,346,1650
1980,MI,9228128,59014,940,4304,,22519,31251
1980,MN,4061235,9250,106,942,,4025,4177
1980,MO,4901288,27177,544,1600,,10958,14075
1980,MT,781592,1740,31,164,,266,1279
1980,NC,5843665,26589,619,1324,,4810,19836
1980,ND,652437,352,8,62,,50,232
1980,NE,1563921,3512,69,363,,1286,1794
1980,NH,919114,1653,23,159,,386,1085
1980,NJ,7342164,44373,504,2257,,22299,19313
1980,NM,1295474,7967,170,561,,1657,5579
1980,NV,800312,7304,160,538,,3686,2920
1980,NY,17506690,180235,2228,5405,,112273,60329
1980,OH,10766808,53646,871,3696,,24082,24997
1980,OK,3001252,12589,299,1088,,3147,8055
1980,OR,2610477,12802,132,1084,,3978,7608
1980,PA,11824220,43032,809,2722,,21039,18462
1980,RI,945835,3864,42,162,,1122,2538
1980,SC,3064557,20225,348,1148,,3620,15109
1980,SD,688217,873,5,86,,138,644
1980,TN,4545590,20824,489,1700,,8208,10427
1980,TX,14169829,77978,2392,6700,,29547,39339
1980,UT,1458729,4425,55,404,,1170,2796
1980,VA,5323412,16355,459,1458,,6392,8046
1980,VT,511299,914,11,149,,199,555
1980,WA,4113331,19098,225,2169,,5558,11146
1980,WI,4680917,8546,136,697,,3310,4403
1980,WV,1930787,3547,138,306,,936,2167
1980,WY,468954,1841,29,134,,208,1470
1981,AK,412000,2537,60,421,,472,1584
1981,AL,3916000,18423,465,1021,,4952,11985
1981,AR,2294000,7119,209,577,,1776,4557
1981,AZ,2793000,16082,227,1064,,4961,9830
1981,CA,24159000,208485,3143,13566,,93781,97995
1981,CO,2963000,15755,239,1352,,4726,9438
1981,CT,3132000,14033,168,687,,7709,5469
1981,DC,636000,14468,223,414,,10399,3432
1981,DE,598000,3044,40,170,,844,1990
1981,FL,10166000,98109,1522,5707,,35473,55407
1981,GA,5569000,30527,960,2362,,10938,16267
1981,HI,979000,2424,47,340,,1453,584
1981,IA,2897000,5915,76,389,,1554,3896
1981,ID,959000,2717,43,198,,362,2114
1981,IL,11455000,90781,1205,3716,,42752,43108
1981,IN,5466000,18672,388,1616,,7050,9618
1981,KS,2381000,8796,151,733,,2611,5301
1981,KY,3661000,10599,308,766,,3687,5838
1981,LA,4305000,27478,673,1782,,8698,16325
1981,MA,5770000,36273,210,1580,,15633,18850
1981,MD,4261000,37800,421,1654,,18085,17640
1981,ME,1132000,2214,36,145,,368,1665
1981,MI,9201000,59058,861,4366,,23688,30143
1981,MN,4090000,9344,85,1056,,4266,3937
1981,MO,4938000,26675,516,1465,,10629,14065
1981,MT,792000,2004,27,175,,302,1500
1981,NC,5951000,25986,541,1351,,4809,19285
1981,ND,658000,444,15,57,,85,287
1981,NE,1576000,2861,49,323,,1115,1374
1981,NH,935000,1375,27,154,,335,859
1981,NJ,7401000,46674,542,2374,,24761,18997
1981,NM,1327000,8913,151,628,,1868,6266
1981,NV,845000,7575,148,548,,3870,3009
1981,NY,17594000,188178,2166,5479,,120344,60189
1981,OH,10776000,53509,799,3339,,25529,23842
1981,OK,3098000,13223,279,1091,,3574,8279
1981,OR,2647000,12671,117,1105,,4780,6669
1981,PA,11864000,44104,729,2662,,22137,18576
1981,RI,952000,4205,40,170,,1257,2738
1981,SC,3166000,20275,330,1148,,3805,14992
1981,SD,685000,718,12,79,,122,505
1981,TN,4610000,19019,448,1735,,7916,8920
1981,TX,14755000,78560,2446,6821,,28528,40765
1981,UT,1516000,4527,50,431,,1286,2760
1981,VA,5426000,17456,464,1478,,7229,8285
1981,VT,515000,659,22,170,,142,325
1981,WA,4212000,18839,213,2115,,5475,11036
1981,WI,4739000,8904,161,745,,3249,4749
1981,WV,1951000,3410,118,289,,979,2024
1981,WY,492000,2116,27,174,,206,1709
1982,AK,438000,2732,81,374,,586,1691
1982,AL,3943000,17653,417,1026,,4417,11793
1982,AR,2291000,7438,187,622,,1805,4824
1982,AZ,2860000,14785,236,1100,,4537,8912
1982,CA,24724000,201429,2779,12529,,91988,94133
1982,CO,3045000,15354,182,1356,,4587,9229
1982,CT,3153000,12597,164,692,,6574,5167
1982,DC,631000,13397,194,421,,9137,3645
1982,DE,602000,3370,32,186,,737,2415
1982,FL,10416000,93411,1409,5587,,31002,55413
1982,GA,5639000,26963,713,2242,,8716,15292
1982,HI,994000,2542,31,342,,1560,609
1982,IA,2905000,5018,67,362,,1051,3538
1982,ID,965000,2501,24,160,,292,2025
1982,IL,11448000,88644,1005,3424,,39700,44515
1982,IN,5471000,16444,355,1521,,5966,8602
1982,KS,2408000,8088,138,596,,2095,5259
1982,KY,3667000,11550,355,734,,3568,6893
1982,LA,4362000,29185,698,1740,,9275,17472
1982,MA,5781000,33031,219,1464,,12359,18989
1982,MD,4265000,36254,432,1596,,15377,18849
1982,ME,1133000,1847,24,152,,345,1326
1982,MI,9109000,59806,827,4246,,24699,30034
1982,MN,4133000,9062,95,938,,4188,3841
1982,MO,4951000,25078,479,1283,,9554,13762
1982,MT,801000,1801,31,119,,265,1386
1982,NC,6019000,26865,545,1322,,5168,19830
1982,ND,670000,414,5,66,,85,258
1982,NE,1586000,3641,31,329,,982,2299
1982,NH,951000,1187,21,154,,322,690
1982,NJ,7438000,45175,482,2149,,22880,19664
1982,NM,1359000,9982,158,656,,1715,7453
1982,NV,881000,7096,120,542,,3697,2737
1982,NY,17659000,174833,2013,5159,,107843,59818
1982,OH,10791000,47126,676,3223,,19809,23418
1982,OK,3177000,14103,344,1180,,4218,8361
1982,OR,2649000,12529,136,1057,,4433,6903
1982,PA,11865000,42767,678,2448,,20806,18835
1982,RI,958000,3849,35,186,,1099,2529
1982,SC,3203000,23061,348,1242,,3921,17550
1982,SD,691000,684,19,79,,118,468
1982,TN,4651000,19586,452,1651,,8173,9310
1982,TX,15280000,88178,2466,6816,,33618,45278
1982,UT,1554000,4440,53,369,,1344,2674
