YrSt_ID,population,population_unemp,violent_crime,Unemp_Yr_Avg
1980 - AK,440142,42254.0,1919,9.6
1980 - AL,3861466,343670.0,17320,8.9
1980 - AR,2284037,171303.0,7656,7.5
1980 - AZ,2715357,179214.0,17673,6.6
1980 - CA,23532680,1600222.0,210290,6.8
1980 - CO,2878407,166948.0,15215,5.8
1980 - CT,3095224,179523.0,12768,5.8
1980 - DC,635233,47007.0,12772,7.4
1980 - DE,594779,45203.0,2824,7.6
1980 - FL,9567112,583594.0,94095,6.1
1980 - GA,5400851,340254.0,29993,6.3
1980 - HI,964680,48234.0,2889,5.0
1980 - IA,2907804,174468.0,5826,6.0
1980 - ID,943629,70772.0,2957,7.5
1980 - IL,11355062,919760.0,91753,8.1
1980 - IN,5461103,524266.0,20633,9.6
1980 - KS,2354783,105965.0,9168,4.5
1980 - KY,3641479,287677.0,9711,7.9
1980 - LA,4199542,289768.0,27926,6.9
1980 - MA,5728288,320784.0,34444,5.6
1980 - MD,4192211,276686.0,35735,6.6
1980 - ME,1123670,85399.0,2173,7.6
1980 - MI,9228128,1135060.0,59014,12.3
1980 - MN,4061235,235552.0,9250,5.8
1980 - MO,4901288,352893.0,27177,7.2
1980 - MT,781592,47677.0,1740,6.1
1980 - NC,5843665,373995.0,26589,6.4
1980 - ND,652437,31969.0,352,4.9
1980 - NE,1563921,60993.0,3512,3.9
1980 - NH,919114,41360.0,1653,4.5
1980 - NJ,7342164,528636.0,44373,7.2
1980 - NM,1295474,98456.0,7967,7.6
1980 - NV,800312,49619.0,7304,6.2
1980 - NY,17506690,1313002.0,180235,7.5
1980 - OH,10766808,904412.0,53646,8.4
1980 - OK,3001252,132055.0,12589,4.4
1980 - OR,2610477,221891.0,12802,8.5
1980 - PA,11824220,945938.0,43032,8.0
1980 - RI,945835,68100.0,3864,7.2
1980 - SC,3064557,205325.0,20225,6.7
1980 - SD,688217,33034.0,873,4.8
1980 - TN,4545590,336374.0,20824,7.4
1980 - TX,14169829,722661.0,77978,5.1
1980 - UT,1458729,90441.0,4425,6.2
1980 - VA,5323412,276817.0,16355,5.2
1980 - VT,511299,31701.0,914,6.2
1980 - WA,4113331,333180.0,19098,8.1
1980 - WI,4680917,337026.0,8546,7.2
1980 - WV,1930787,183425.0,3547,9.5
1980 - WY,468954,17820.0,1841,3.8
1981 - AK,412000,38728.0,2537,9.4
1981 - AL,3916000,411180.0,18423,10.5
1981 - AR,2294000,201872.0,7119,8.8
1981 - AZ,2793000,173166.0,16082,6.2
1981 - CA,24159000,1787766.0,208485,7.4
1981 - CO,2963000,171854.0,15755,5.8
1981 - CT,3132000,194184.0,14033,6.2
1981 - DC,636000,56604.0,14468,8.9
1981 - DE,598000,47242.0,3044,7.9
1981 - FL,10166000,681122.0,98109,6.7
1981 - GA,5569000,356416.0,30527,6.4
1981 - HI,979000,52866.0,2424,5.4
1981 - IA,2897000,191202.0,5915,6.6
1981 - ID,959000,74802.0,2717,7.8
1981 - IL,11455000,973675.0,90781,8.5
1981 - IN,5466000,541134.0,18672,9.9
1981 - KS,2381000,102383.0,8796,4.3
1981 - KY,3661000,314846.0,10599,8.6
1981 - LA,4305000,361620.0,27478,8.4
1981 - MA,5770000,375050.0,36273,6.5
1981 - MD,4261000,311053.0,37800,7.3
1981 - ME,1132000,83768.0,2214,7.4
1981 - MI,9201000,1140924.0,59058,12.4
1981 - MN,4090000,237220.0,9344,5.8
1981 - MO,4938000,380226.0,26675,7.7
1981 - MT,792000,54648.0,2004,6.9
1981 - NC,5951000,386815.0,25986,6.5
1981 - ND,658000,31584.0,444,4.8
1981 - NE,1576000,66192.0,2861,4.2
1981 - NH,935000,48620.0,1375,5.2
1981 - NJ,7401000,555075.0,46674,7.5
1981 - NM,1327000,96871.0,8913,7.3
1981 - NV,845000,60840.0,7575,7.2
1981 - NY,17594000,1337144.0,188178,7.6
1981 - OH,10776000,1012944.0,53509,9.4
1981 - OK,3098000,111528.0,13223,3.6
1981 - OR,2647000,259406.0,12671,9.8
1981 - PA,11864000,996576.0,44104,8.4
1981 - RI,952000,74256.0,4205,7.8
1981 - SC,3166000,256446.0,20275,8.1
1981 - SD,685000,34250.0,718,5.0
