Penal_Code,Penal_Desc
,RECOVERED O/S STOLEN
470(b),FORGERY & COUNTERFEITING
459,BURG - AUTO
10851 VC,STOLEN VEHICLE
484(a) PC,PETTY THEFT
484(a) PC,PETTY THEFT
459,BURG - AUTO
459,BURG - AUTO
484(a) PC,PETTY THEFT
484(a) PC,PETTY THEFT
484(a) PC,PETTY THEFT
10851 VC,STOLEN VEHICLE
,RECOVERED O/S STOLEN
459,BURG - AUTO
459,BURG - AUTO
13700,DOMESTIC VIOLENCE
211,ROBBERY
,TOWED VEHICLE
13700,DOMESTIC VIOLENCE
13700,DOMESTIC VIOLENCE
,RECOVERED O/S STOLEN
187,HOMICIDE
240,FELONY ASSAULT
240,FELONY ASSAULT
459,BURG - AUTO
240,MISDEMEANOR ASSAULT
487,GRAND THEFT
459,BURG - RESIDENTIAL
,OTHER
451,ARSON
422 PC,THREATS
422 PC,THREATS
240,MISDEMEANOR ASSAULT
240,MISDEMEANOR ASSAULT
459,BURG - AUTO
459,BURG - AUTO
,RECOVERED O/S STOLEN
,OTHER SEX OFFENSES
451,ARSON
10851 VC,STOLEN VEHICLE
459,BURG - COMMERCIAL
459,BURG - RESIDENTIAL
211,ROBBERY
10851 VC,STOLEN VEHICLE
240,MISDEMEANOR ASSAULT
459,BURG - AUTO
484(a) PC,PETTY THEFT
487,GRAND THEFT
487,GRAND THEFT
240,MISDEMEANOR ASSAULT
459,BURG - COMMERCIAL
594 PC,VANDALISM
23152(a),DUI
10851 VC,STOLEN VEHICLE
647,DISORDERLY CONDUCT
594 PC,VANDALISM
594 PC,VANDALISM
10851 VC,STOLEN VEHICLE
13700,DOMESTIC VIOLENCE
13700,DOMESTIC VIOLENCE
240,FELONY ASSAULT
240,FELONY ASSAULT
13700,DOMESTIC VIOLENCE
13700,DOMESTIC VIOLENCE
240,MISDEMEANOR ASSAULT
459,BURG - AUTO
459,BURG - AUTO
459,BURG - AUTO
240,FELONY ASSAULT
451,Not Reported
,Not Reported
,Not Reported
,Not Reported
16590 PC,WEAPONS
,Not Reported
459,BURG - AUTO
459,BURG - AUTO
484(a) PC,PETTY THEFT
594 PC,VANDALISM
459,BURG - AUTO
,OTHER
594 PC,VANDALISM
,OTHER
459,BURG - RESIDENTIAL
10851 VC,STOLEN VEHICLE
594 PC,VANDALISM
487,GRAND THEFT
459,BURG - AUTO
459,BURG - AUTO
459,BURG - AUTO
459,BURG - AUTO
459,BURG - AUTO
459,BURG - AUTO
459,BURG - AUTO
459,BURG - AUTO
459,BURG - AUTO
594 PC,VANDALISM
470(b),FORGERY & COUNTERFEITING
594 PC,VANDALISM
,Not Reported
