Number,dateReported,timeReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,geolocation,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor
MP20000042,1/1/20, 2:42:00 PM,"Dec 31, 2019, 4:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,538 HIGH ST,MODESTO,CALIFORNIA,95354,"37.65235097,-120.9876173",0,0,0,,FELONY
MP20000045,1/1/20, 1:51:55 PM,"Jan 1, 2020, 1:45:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1140 STODDARD AVE,MO,,95350,"37.64928774,-121.0095412",0,0,0,,FELONY
MP20000035,1/1/20, 11:32:05 AM,"Jan 1, 2020, 5:55:00 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,142 N 9TH ST,MO,,95350,"37.64662008,-121.0102062",0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000015,1/1/20, 7:49:50 AM,"Jan 1, 2020, 2:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,621 9TH ST,MODESTO,CALIFORNIA,95354,"37.63632276,-120.9974609",0,0,0,,FELONY
MP20000057,1/1/20, 4:35:45 PM,"Jan 1, 2020, 2:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1113 EDISON AVE,MODESTO,CALIFORNIA,95350,"37.65829783,-120.9792085",0,0,0,,FELONY
MP20000030,1/1/20, 12:14:00 PM,"Jan 1, 2020, 5:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1904 EVERGREEN AVE,MODESTO,CALIFORNIA,95350,"37.66752534,-121.0254477",0,0,0,,FELONY
MP20000066,1/1/20, 7:13:15 PM,"Dec 31, 2019, 10:30:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3601 PRESCOTT RD,MODESTO,CALIFORNIA,95356,"37.6916466,-121.0323979",0,0,0,NON-RESIDENCE - UNKNOWN,FELONY
MP20000075,1/1/20, 7:32:54 PM,"Dec 31, 2019, 5:00:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2049 W RUMBLE RD,MODESTO,CALIFORNIA,95350,"37.6820738,-121.0303819",0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000088,1/1/20, 11:37:07 PM,"Jan 1, 2020, 11:37:07 PM",451 (D) PC,451 (D) PC ARSON:PROPERTY 08 Arson 2137,2417 NICKERSON DR,MO,,95358,"37.59578543,-120.985715",1,0,0,,FELONY
MP20000044,1/1/20, 2:49:10 PM,"Dec 31, 2019, 12:00:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,2208 USTICK RD,MODESTO,CALIFORNIA,95358,"37.5970934,-121.0116209",0,0,0,RESIDENCE - NIGHT (6PM - 6AM),MISDEMEANOR
MP20000058,1/1/20, 3:42:29 PM,"Jan 1, 2020, 3:24:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,601 MAGNOLIA AVE,MO,,95354,"37.65264167,-120.9968992",1,0,0,,FELONY
MP20000010,1/1/20, 2:17:30 AM,"Jan 1, 2020, 2:15:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,400 TENNYSON DR,MO,,95351,"37.63551212,-121.0224866",0,0,0,,FELONY
MP20000086,1/1/20, 10:40:08 PM,"Jan 1, 2020, 10:40:08 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,428 LEON AVE,MO,,95351,"37.62503154,-121.0098958",0,0,0,,FELONY
