Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor
MP19037614,"Dec 31, 2019, 7:10:57 PM","Dec 31, 2019, 7:00:00 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,OAKDALE RD & FLOYD AVE,MODESTO,CALIFORNIA,95355,-120.95777,37.67807982,0,0,0,,FELONY
MP19037565,"Dec 31, 2019, 9:01:31 AM","Dec 31, 2019, 12:30:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3120 PELANDALE AVE,MO,CALIFORNIA,,-121.0529878,37.69936856,0,0,0,,FELONY
MP19037555,"Dec 31, 2019, 8:12:40 AM","Dec 31, 2019, 5:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3120 PELANDALE AVE,MODESTO,CALIFORNIA,95356,-121.0530008,37.69937359,0,0,0,,FELONY
MP19037568,"Dec 31, 2019, 9:36:26 AM","Dec 31, 2019, 9:30:00 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2129 CLAYMONT DR,MODESTO,CALIFORNIA,95350,-121.0332252,37.68718103,1,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY
MP19037568,"Dec 31, 2019, 9:36:26 AM","Dec 31, 2019, 9:30:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,2129 CLAYMONT DR,MODESTO,CALIFORNIA,95350,-121.0332252,37.68718103,1,0,0,,FELONY
MP19037447,"Dec 29, 2019, 8:29:35 PM","Dec 29, 2019, 8:29:35 PM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231,1604 PIMLICO DR,MODESTO,CALIFORNIA,95350,-121.019973,37.67248729,0,0,0,,FELONY
MP19037447,"Dec 29, 2019, 8:29:35 PM","Dec 29, 2019, 8:29:35 PM",245 (A)(4) PC,245 (A)(4) PC ASSAULT WITH DEADLY WEAPON:  POSSIBLE GBI: FELONY 04 Aggravated Assault 1236,1604 PIMLICO DR,MODESTO,CALIFORNIA,95350,-121.019973,37.67248729,0,0,0,,FELONY
MP20000042,"Jan 1, 2020, 2:42:00 PM","Dec 31, 2019, 4:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,538 HIGH ST,MODESTO,CALIFORNIA,95354,-120.9876173,37.65235097,0,0,0,,FELONY
MP20000045,"Jan 1, 2020, 1:51:55 PM","Jan 1, 2020, 1:45:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1140 STODDARD AVE,MO,,95350,-121.0095412,37.64928774,0,0,0,,FELONY
MP20000035,"Jan 1, 2020, 11:32:05 AM","Jan 1, 2020, 5:55:00 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,142 N 9TH ST,MO,,95350,-121.0102062,37.64662008,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000015,"Jan 1, 2020, 7:49:50 AM","Jan 1, 2020, 2:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,621 9TH ST,MODESTO,CALIFORNIA,95354,-120.9974609,37.63632276,0,0,0,,FELONY
MP19037546,"Dec 31, 2019, 3:17:33 AM","Dec 31, 2019, 3:02:00 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,901 N CARPENTER RD,MODESTO,CALIFORNIA,95358,-121.0314003,37.64756128,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP19037508,"Dec 30, 2019, 10:06:12 AM","Dec 28, 2019, 1:00:00 PM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,3719 TULLY RD,MODESTO,CALIFORNIA,95356,-121.0130673,37.69286297,0,0,0,NON-RESIDENCE - UNKNOWN,FELONY
MP19037499,"Dec 30, 2019, 10:53:14 AM","Dec 30, 2019, 10:53:14 AM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,103 7TH ST,MODESTO,,,-120.9937118,37.62694492,1,0,0,,FELONY
MP19037120,"Dec 26, 2019, 6:34:36 AM","Dec 26, 2019, 12:30:00 AM",664 /460 (B) PC,664 /460 (B) PC ATTEMPTED BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2912,3501 MC HENRY AVE,MODESTO,CALIFORNIA,95356,-120.9949939,37.69043492,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP20000057,"Jan 1, 2020, 4:35:45 PM","Jan 1, 2020, 2:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1113 EDISON AVE,MODESTO,CALIFORNIA,95350,-120.9792085,37.65829783,0,0,0,,FELONY
MP20000030,"Jan 1, 2020, 12:14:00 PM","Jan 1, 2020, 5:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1904 EVERGREEN AVE,MODESTO,CALIFORNIA,95350,-121.0254477,37.66752534,0,0,0,,FELONY
MP20000066,"Jan 1, 2020, 7:13:15 PM","Dec 31, 2019, 10:30:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,3601 PRESCOTT RD,MODESTO,CALIFORNIA,95356,-121.0323979,37.6916466,0,0,0,NON-RESIDENCE - UNKNOWN,FELONY
MP20000075,"Jan 1, 2020, 7:32:54 PM","Dec 31, 2019, 5:00:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,2049 W RUMBLE RD,MODESTO,CALIFORNIA,95350,-121.0303819,37.6820738,0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP19037581,"Dec 31, 2019, 12:12:00 PM","Dec 27, 2019, 1:00:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,2513 BELLAMY ST,MODESTO,CALIFORNIA,95354,-120.9497991,37.64260325,0,0,0,,MISDEMEANOR
MP19037403,"Dec 29, 2019, 8:04:14 AM","Dec 29, 2019, 1:00:00 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1432 9TH ST,MODESTO,CALIFORNIA,95354,-121.0064903,37.64460604,0,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY
MP19037420,"Dec 29, 2019, 11:42:32 AM","Dec 29, 2019, 9:30:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,519 SCENIC DR,MODESTO,CALIFORNIA,95354,-120.9870425,37.64663359,0,0,0,,FELONY
MP20000006,"Jan 30, 2020, 2:26:13 PM","Jan 30, 2020, 2:26:13 PM",273 A(A) PC,273 A(A) PC WILLFUL CRUELTY TO CHILD:POSSIBLE INJURY/DEATH: MISD 04 Aggravated Assault 1474,220 PECOS AVE,MO,CALIFORNIA,95351,-120.9913998,37.61646521,1,1,1,,FELONY
MP20000088,"Jan 1, 2020, 11:37:07 PM","Jan 1, 2020, 11:37:07 PM",451 (D) PC,451 (D) PC ARSON:PROPERTY 08 Arson 2137,2417 NICKERSON DR,MO,,95358,-120.985715,37.59578543,1,0,0,,FELONY
MP19037544,"Dec 31, 2019, 2:19:18 AM","Dec 30, 2019, 9:30:00 PM",488 PC,488 PC PETTY THEFT 06 Theft 2305,3001 HAHN DR,MODESTO,CALIFORNIA,95350,-121.045842,37.68283441,0,0,0,,MISDEMEANOR
