caseID,personID
MP20010240,3877
MP20007353,2309
MP20010311,3570
MP20009508,3986
MP20002614,2812
MP20002933,3663
MP20003893,3437
MP20009453,3833
MP20009496,3833
MP20005015,3724
MP20006593,2339
MP20007741,2632
MP20008984,3309
MP20006608,2677
MP20004879,3436
MP20002432,3854
MP20010078,3698
MP20004129,3755
MP20000965,3161
MP20006173,2720
MP20004985,3586
MP20000357,3374
MP20002884,2725
MP20010011,2930
MP20010360,2713
MP20002523,3179
MP20007924,3179
MP20008183,2529
MP20004205,3057
MP20001721,2726
MP20006282,2831
MP20005763,3817
MP19037447,3354
MP20000417,3081
MP20008159,3855
MP20006247,3595
MP20002246,3076
MP20002246,3077
MP20009418,3555
MP20005287,3745
MP20006314,3879
MP20006170,2939
MP20009829,3653
MP20000433,2098
MP20009110,3311
MP20007431,3795
MP20004312,4001
MP20000001,3475
MP20008911,3230
MP20002541,3259
MP20007431,3418
MP20009532,2718
MP20005791,3735
MP20008501,3175
MP20009719,5451
MP20005643,3707
MP20004312,4003
MP20001529,3866
MP20006579,3797
MP20000690,3808
MP20007431,3777
MP20010050,3705
MP20008129,4007
MP20009778,3423
MP20004628,2724
MP20005358,2796
MP20002803,3315
MP20000042,2818
MP20007051,2787
MP20000649,3590
MP20000338,2881
MP20009646,3519
MP20009645,3398
MP20008581,3060
MP20004874,2914
MP20010177,3612
MP20010165,2381
MP20004456,2582
MP20009588,3137
MP20008648,3968
MP20001080,3821
MP20005623,2653
MP20006094,2653
MP20005528,3353
MP20002652,5453
MP20003228,3061
MP20001502,3801
MP20004047,2711
MP20004129,3792
MP20008471,3031
MP20009008,3483
MP20001212,3903
MP20001502,3798
MP20002700,3798
MP20007388,3058
MP20009496,3832
MP20000310,3150
MP20008968,2697
MP20008575,3640
MP20008500,3865
MP20009484,3865
MP20008243,2549
MP20009982,2432
MP20008840,3865
MP20006931,2987
MP20006430,3141
MP20007000,3706
MP20009637,3360
MP20004572,2052
MP20008857,3317
MP20009155,3289
MP20000691,3654
MP20001366,3654
MP20002401,3654
MP20008022,4019
MP20008954,2853
MP20007769,3337
MP20002811,2421
MP20002541,3172
MP19037568,3656
MP20003400,3835
MP20001183,2836
MP20010069,2834
MP20004791,3886
MP19037589,4020
MP20002859,3085
MP20003217,2446
MP20005190,3525
MP20000303,3260
MP20010110,3547
MP20004989,3564
MP20002469,3272
MP20007999,3726
MP20007371,3435
MP20005640,2492
MP20003384,3925
MP20009149,3038
MP20000995,2325
MP20000640,3725
MP20006235,3355
MP20000205,2816
MP20003527,2717
MP20001045,2819
MP20005165,3573
MP20003973,3599
MP20000348,3333
MP20003126,3283
MP20003126,3381
MP20002437,3021
MP20001484,2308
MP20007744,2880
MP20005961,3089
MP20004596,3563
MP20007229,4029
MP20000986,2897
MP20003168,3108
MP20010148,2776
MP20008840,3921
MP20009484,3921
MP20000624,2745
MP20009646,3092
MP20010144,2705
MP20007705,3154
MP20007166,3430
MP20008585,3918
MP20008722,3221
MP20000356,2417
MP20007215,3105
MP20003097,2825
MP20007532,3284
MP20004206,2833
MP20001529,3793
MP20008585,3849
MP20001529,3007
MP20003234,3251
MP20003234,3252
