caseID,personID
MP19035391,2938
MP19036742,2855
MP19037368,2399
MP19037420,3638
MP19037447,3885
MP19037499,2546
MP19037508,2541
MP19037508,3994
MP19037508,4010
MP19037508,4027
MP19037508,4037
MP19037508,4057
MP19037544,3329
MP19037545,3992
MP19037549,3721
MP19037552,2175
MP19037553,2752
MP19037555,3024
MP19037559,4097
MP19037565,3111
MP19037568,2193
MP19037589,2414
MP19037590,2009
MP19037614,2671
MP19803344,3834
MP19803372,2166
MP19803376,3769
MP19803377,2171
MP19803380,2347
MP19803396,2232
MP20000001,4488
MP20000006,3875
MP20000010,3013
MP20000019,2504
MP20000030,3498
MP20000033,3681
MP20000040,2025
MP20000042,2966
MP20000044,2563
MP20000045,3343
MP20000057,2746
MP20000058,2288
MP20000062,2891
MP20000066,3192
MP20000066,5475
MP20000067,2580
MP20000069,2950
MP20000075,2959
MP20000075,3492
MP20000084,3290
MP20000086,3302
MP20000087,2794
MP20000088,4056
MP20000095,2936
MP20000095,2583
MP20000099,3147
MP20000138,2485
MP20000175,3376
MP20000181,3818
MP20000186,2963
MP20000188,4008
MP20000198,4070
MP20000200,2438
MP20000201,4049
MP20000202,3416
MP20000202,3966
MP20000202,3979
MP20000204,4024
MP20000207,2842
MP20000207,3963
MP20000207,3952
MP20000208,4023
MP20000218,2688
MP20000255,3862
MP20000261,2240
MP20000266,2327
MP20000270,2303
MP20000270,2335
MP20000278,3325
MP20000278,3271
MP20000279,2743
MP20000283,2768
MP20000299,3302
MP20000301,2628
MP20000303,3216
MP20000310,3051
MP20000315,2032
MP20000315,2145
MP20000316,2968
MP20000323,3939
MP20000323,3946
MP20000324,2744
MP20000338,2658
MP20000339,3545
MP20000344,2328
MP20000348,3975
MP20000356,2857
MP20000357,2294
MP20000360,3566
MP20000364,2545
MP20000368,2331
MP20000372,3169
MP20000372,3378
MP20000374,3040
MP20000374,2986
MP20000378,3280
MP20000382,3063
MP20000402,2337
MP20000403,3645
MP20000403,2455
MP20000406,3945
MP20000406,3969
MP20000406,3964
MP20000408,2469
MP20000417,2121
MP20000423,4032
MP20000431,3684
MP20000433,2277
MP20000444,2467
MP20000452,3617
MP20000455,3581
MP20000476,2740
MP20000481,2216
MP20000482,2510
MP20000485,3576
MP20000499,2007
MP20000502,3131
MP20000502,3142
MP20000508,3187
MP20000509,3674
MP20000526,4485
MP20000530,2636
MP20000548,2429
MP20000562,2961
MP20000564,2155
MP20000567,2378
MP20000597,3264
MP20000609,2024
MP20000615,3546
MP20000624,5476
MP20000629,2487
MP20000640,3982
MP20000649,3569
MP20000655,4090
MP20000677,3321
MP20000685,2940
MP20000685,2927
MP20000688,3399
MP20000689,3996
MP20000690,2747
MP20000691,3082
MP20000697,2264
MP20000699,4005
MP20000702,4014
MP20000714,4088
MP20000719,2115
MP20000719,2115
MP20000719,2169
MP20000729,2910
MP20000732,2318
MP20000751,3054
MP20000755,3716
MP20000764,3447
MP20000769,2719
MP20000772,2116
MP20000780,2178
MP20000782,2080
MP20000795,2263
MP20000824,4031
MP20000830,2554
MP20000837,3687
MP20000840,2362
MP20000870,3257
MP20000880,2218
MP20000886,2050
MP20000893,2980
MP20000904,2356
MP20000929,2210
MP20000947,2805
MP20000949,3643
MP20000958,3190
MP20000964,3820
MP20000965,3156
MP20000981,4012
MP20000995,2742
MP20001022,3402
MP20001024,3091
MP20001034,2669
MP20001045,2860
MP20001049,2944
MP20001054,3101
MP20001062,5440
MP20001063,3719
MP20001063,3639
MP20001072,2456
MP20001076,2306
MP20001080,2336
MP20001081,3965
MP20001093,5452
MP20001105,2133
MP20001107,3553
MP20001115,2430
MP20001121,4248
MP20001126,3537
MP20001130,2101
MP20001135,3763
MP20001152,2173
MP20001155,2739
MP20001183,3370
MP20001184,4092
MP20001185,4062
MP20001188,3517
MP20001212,3110
MP20001224,2730
MP20001231,3350
MP20001232,3328
MP20001270,3871
MP20001273,3868
MP20001276,2375
MP20001282,2302
MP20001284,2158
MP20001296,3149
MP20001300,2380
MP20001312,2817
MP20001330,3394
MP20001346,2832
MP20001366,3661
MP20001378,2167
MP20001385,2161
MP20001392,3731
MP20001401,3758
MP20001408,3012
MP20001413,2470
MP20001424,4119
MP20001426,2645
MP20001426,2397
MP20001446,2124
MP20001463,2451
MP20001484,3948
MP20001485,4004
MP20001501,4104
MP20001502,2256
MP20001502,3516
MP20001502,2553
MP20001513,4074
MP20001514,3068
MP20001529,3338
MP20001544,3331
MP20001549,2298
MP20001549,2320
MP20001556,2483
MP20001586,3185
MP20001602,5436
MP20001607,2934
MP20001609,3026
MP20001620,2668
MP20001622,2630
MP20001624,2716
MP20001628,3138
MP20001633,2412
MP20001640,3688
MP20001647,4011
MP20001654,2123
MP20001657,2377
MP20001660,4071
MP20001673,3853
MP20001680,2712
MP20001682,2911
MP20001698,3518
MP20001719,2439
MP20001719,2800
MP20001721,2614
MP20001721,3942
MP20001727,3613
MP20001727,3973
MP20001728,3646
MP20001729,2344
MP20001733,3124
MP20001737,4256
MP20001746,2974
MP20001761,2100
MP20001764,2090
MP20001768,2540
MP20001768,2538
MP20001770,2104
MP20001771,4052
MP20001772,3015
MP20001772,2904
MP20001777,2276
MP20001782,3453
MP20001787,4035
MP20001795,3276
MP20001798,2760
MP20001799,2172
MP20001807,2493
MP20001828,3218
MP20001829,2885
MP20001839,3687
MP20001849,2960
MP20001852,2243
MP20001903,2511
MP20001909,4045
MP20001914,3225
MP20001930,2068
MP20001946,2141
MP20001949,3675
MP20001954,2597
MP20001973,4096
MP20001995,2189
MP20001998,5439
MP20002008,3543
MP20002012,2650
MP20002023,3033
MP20002027,2150
MP20002050,2204
MP20002053,2482
MP20002056,2847
MP20002060,3336
MP20002060,3469
MP20002060,2847
MP20002061,4077
MP20002072,2077
MP20002079,2383
MP20002108,2895
MP20002126,3023
MP20002136,3814
MP20002143,3923
MP20002149,2933
MP20002150,3804
MP20002152,2659
MP20002159,5438
MP20002160,2260
MP20002188,3146
MP20002190,2361
MP20002192,2056
MP20002198,4055
MP20002199,2183
MP20002204,3943
MP20002209,4118
MP20002222,3838
MP20002225,2018
MP20002230,3380
MP20002246,2970
MP20002250,2268
MP20002251,2108
MP20002267,3079
MP20002268,2779
MP20002299,3409
MP20002313,2229
MP20002314,2209
MP20002314,2156
MP20002321,3906
MP20002321,3830
MP20002327,3468
MP20002331,2346
MP20002342,4084
MP20002349,2220
MP20002364,2699
MP20002365,3774
MP20002375,2460
MP20002385,3887
MP20002390,3715
MP20002392,2568
MP20002393,2935
MP20002401,2125
MP20002404,2543
MP20002418,2479
MP20002420,2888
