Number,involvementType,personID
MP20002192,VICTIM,4001
MP20003923,VICTIM,4001
MP20008692,VICTIM,4002
MP20008983,VICTIM,4002
MP20005934,VICTIM,4003
MP20006805,VICTIM,4003
MP20011455,VICTIM,4004
MP20009479,SUSPECT,4005
MP20011202,SUSPECT,4006
MP20011357,SUSPECT,4007
MP20002199,VICTIM,4007
MP20008649,SUSPECT,4008
MP20009790,SUSPECT,4009
MP20004145,VICTIM,4010
MP20010562,VICTIM,4011
MP20009021,SUSPECT,4012
MP20003910,VICTIM,4013
MP20002050,VICTIM,4014
MP20011709,VICTIM,4015
MP20800185,VICTIM,4015
MP20002225,SUSPECT,4016
MP20000880,VICTIM,4017
MP20005638,VICTIM,4017
MP20011938,VICTIM,4018
MP20010013,SUSPECT,4019
MP20010923,VICTIM,4020
MP20011166,VICTIM,4021
MP20004872,SUSPECT,4022
MP20001605,VICTIM,4023
MP20003807,VICTIM,4023
MP20009904,VICTIM,4023
MP20010754,VICTIM,4023
MP20003943,VICTIM,4024
MP20004361,VICTIM,4024
MP20007805,VICTIM,4024
MP20800964,VICTIM,4025
MP20800951,VICTIM,4026
MP20004186,VICTIM,4027
MP20800705,VICTIM,4027
MP20007353,SUSPECT,4028
MP20003943,SUSPECT,4029
MP20004361,SUSPECT,4029
MP20007805,SUSPECT,4029
MP20004452,SUSPECT,4030
MP20011044,SUSPECT,4031
MP20011938,VICTIM,4032
MP20000732,VICTIM,4033
MP20009997,VICTIM,4034
MP20004240,VICTIM,4035
MP20000368,VICTIM,4036
MP20800224,VICTIM,4037
MP20009845,VICTIM,4038
MP20001758,SUSPECT,4039
MP20009908,SUSPECT,4039
MP20003194,SUSPECT,4039
MP20011542,VICTIM,4039
MP20007151,VICTIM,4040
MP20011357,VICTIM,4040
MP20002199,SUSPECT,4041
MP20008602,VICTIM,4042
MP20011294,VICTIM,4042
MP20006835,SUSPECT,4043
MP20010905,VICTIM,4043
MP20009340,VICTIM,4044
MP20010502,VICTIM,4044
MP20005373,VICTIM,4045
MP20010864,VICTIM,4046
MP20007714,VICTIM,4047
MP20008517,VICTIM,4047
MP20007390,SUSPECT,4048
MP20011819,SUSPECT,4049
MP20011935,SUSPECT,4049
MP20003935,VICTIM,4050
MP20006222,VICTIM,4051
MP20009155,VICTIM,4052
MP20009665,VICTIM,4052
MP20002537,VICTIM,4053
MP20004256,VICTIM,4053
MP20002811,SUSPECT,4054
MP20006197,VICTIM,4055
MP20011874,VICTIM,4056
MP20010593,SUSPECT,4057
MP20009982,SUSPECT,4058
MP20009982,VICTIM,4058
MP20009238,VICTIM,4059
MP20002504,VICTIM,4060
MP20011819,VICTIM,4061
MP20011935,VICTIM,4061
MP20008432,VICTIM,4062
MP20009207,SUSPECT,4063
MP20003217,SUSPECT,4064
MP20003217,VICTIM,4064
MP20010644,VICTIM,4065
MP20010981,VICTIM,4065
MP20005902,VICTIM,4066
MP20009497,VICTIM,4066
MP20008123,VICTIM,4067
MP20000905,SUSPECT,4068
MP20008314,SUSPECT,4069
MP20007534,SUSPECT,4070
MP20008920,SUSPECT,4071
MP20008885,VICTIM,4071
MP20010400,VICTIM,4072
MP20006410,SUSPECT,4073
MP20003841,VICTIM,4074
MP20008841,VICTIM,4074
MP20002262,SUSPECT,4075
MP20002262,VICTIM,4075
MP20005358,VICTIM,4076
MP20003634,SUSPECT,4077
MP20003634,VICTIM,4077
MP20003135,VICTIM,4078
MP20005823,VICTIM,4079
MP20010878,VICTIM,4080
MP20800918,VICTIM,4080
MP20003634,SUSPECT,4081
MP20003634,VICTIM,4081
MP20005190,VICTIM,4082
MP20011206,VICTIM,4083
MP20011361,VICTIM,4083
MP20009632,VICTIM,4084
MP20001502,VICTIM,4084
MP20000297,SUSPECT,4085
MP20010143,SUSPECT,4085
MP20007813,SUSPECT,4086
MP20007810,SUSPECT,4086
MP20007810,VICTIM,4086
MP20002905,SUSPECT,4087
MP20002905,VICTIM,4087
MP20002933,VICTIM,4087
MP20002392,VICTIM,4088
MP20010501,VICTIM,4089
MP20007124,VICTIM,4090
MP20006314,VICTIM,4091
MP20010609,VICTIM,4092
MP20005540,SUSPECT,4093
MP20006382,VICTIM,4093
MP20005595,VICTIM,4094
MP20000297,VICTIM,4095
MP20010143,VICTIM,4095
MP20006973,SUSPECT,4096
MP20011486,SUSPECT,4096
MP20005748,SUSPECT,4097
MP20006854,SUSPECT,4098
MP20007810,SUSPECT,4099
MP20007810,VICTIM,4099
MP20000301,VICTIM,4100
MP20006344,VICTIM,4101
MP20008959,SUSPECT,4102
MP20010049,SUSPECT,4102
MP20009714,SUSPECT,4103
MP20000658,VICTIM,4103
MP20001721,VICTIM,4103
MP20011202,SUSPECT,4104
MP20000949,SUSPECT,4105
MP20009888,SUSPECT,4106
MP20011202,VICTIM,4107
MP20008815,SUSPECT,4108
MP20003294,VICTIM,4108
MP20006873,VICTIM,4109
MP20009163,VICTIM,4110
MP20002012,VICTIM,4111
MP20800229,VICTIM,4111
MP20005623,SUSPECT,4112
MP20006094,SUSPECT,4112
MP20010611,VICTIM,4113
MP20003654,VICTIM,4114
MP20005250,VICTIM,4115
MP20011431,VICTIM,4115
MP20010704,VICTIM,4116
MP20007744,VICTIM,4117
MP20008500,VICTIM,4118
MP20009705,VICTIM,4118
MP20011276,VICTIM,4119
MP20800734,VICTIM,4120
MP20004632,VICTIM,4121
MP20000037,VICTIM,4122
MP20003227,SUSPECT,4123
MP20007137,VICTIM,4123
MP20000218,VICTIM,4124
MP20002467,VICTIM,4125
MP20002650,VICTIM,4126
MP20006577,VICTIM,4126
MP20002364,VICTIM,4127
MP20002516,VICTIM,4128
MP20003227,VICTIM,4128
MP20005112,VICTIM,4129
MP20001624,VICTIM,4130
MP20800202,VICTIM,4131
MP20003527,SUSPECT,4132
MP20009714,VICTIM,4133
MP20002884,SUSPECT,4134
MP20000658,SUSPECT,4135
MP20001721,SUSPECT,4135
MP20007970,VICTIM,4136
MP20011521,SUSPECT,4137
MP20007873,VICTIM,4138
MP20011180,SUSPECT,4139
MP20006849,VICTIM,4140
MP20800678,VICTIM,4140
MP20007213,SUSPECT,4141
MP20003097,VICTIM,4141
MP20005666,VICTIM,4141
MP20000476,VICTIM,4142
MP20008202,VICTIM,4142
MP20000995,VICTIM,4143
MP20000279,VICTIM,4144
MP20005120,VICTIM,4145
MP20010007,VICTIM,4146
MP20003807,SUSPECT,4147
MP20001605,SUSPECT,4147
MP20009904,SUSPECT,4147
MP20010754,SUSPECT,4147
