personID,Age,Sex
3877,16,MALE
2309,54,FEMALE
3570,23,MALE
3986,23,MALE
2812,38,MALE
3663,21,FEMALE
3437,26,MALE
3833,17,FEMALE
3724,20,MALE
2339,53,MALE
2632,43,MALE
3309,29,FEMALE
2677,41,MALE
3436,26,MALE
3854,17,FEMALE
3698,21,FEMALE
3755,20,MALE
3161,31,MALE
2720,40,MALE
3586,23,MALE
3374,27,FEMALE
2725,40,MALE
2930,35,MALE
2713,40,MALE
3179,30,FEMALE
2529,46,MALE
3057,33,MALE
2726,40,MALE
2831,38,MALE
3817,18,MALE
3354,28,MALE
3081,32,FEMALE
3855,17,MALE
3595,23,MALE
3076,32,MALE
3077,32,MALE
3555,24,FEMALE
3745,20,MALE
3879,16,MALE
2939,35,MALE
3653,22,MALE
2098,68,MALE
3311,29,MALE
3795,19,MALE
4001,Unknown,MALE
3475,25,MALE
3230,30,MALE
3259,29,MALE
3418,27,MALE
2718,40,MALE
3735,20,MALE
3175,31,MALE
5451,45,MALE
3707,21,MALE
4003,Unknown,FEMALE
3866,16,MALE
3797,19,FEMALE
3808,18,MALE
3777,19,MALE
3705,21,MALE
4007,30,MALE
3423,27,MALE
2724,40,MALE
2796,38,MALE
3315,28,MALE
2818,38,MALE
2787,38,MALE
3590,23,MALE
2881,36,MALE
3519,24,MALE
3398,27,MALE
3060,33,MALE
2914,36,MALE
3612,23,MALE
2381,51,MALE
2582,44,MALE
3137,31,MALE
3968,3,MALE
3821,18,MALE
2653,42,MALE
3353,28,MALE
5453,30,MALE
3061,32,MALE
3801,18,MALE
2711,40,FEMALE
3792,19,FEMALE
3031,33,MALE
3483,25,MALE
3903,15,MALE
3798,18,FEMALE
3058,33,MALE
3832,17,MALE
3150,31,FEMALE
2697,41,MALE
3640,22,MALE
3865,16,MALE
2549,45,MALE
2432,49,MALE
2987,34,MALE
3141,31,FEMALE
3706,21,MALE
3360,28,FEMALE
2052,72,FEMALE
3317,29,MALE
3289,29,MALE
3654,21,MALE
4019,29,FEMALE
2853,37,FEMALE
3337,28,MALE
2421,50,MALE
3172,31,MALE
3656,21,MALE
3835,17,MALE
2836,37,MALE
2834,38,FEMALE
3886,16,MALE
4020,Unknown,MALE
3085,32,MALE
2446,48,MALE
3525,24,MALE
3260,29,FEMALE
3547,24,MALE
3564,23,MALE
3272,29,MALE
3726,20,MALE
3435,26,MALE
2492,47,MALE
3925,13,FEMALE
3038,33,MALE
2325,53,MALE
3725,20,MALE
3355,28,FEMALE
2816,38,MALE
2717,40,MALE
2819,38,MALE
3573,23,FEMALE
3599,23,FEMALE
3333,28,FEMALE
3283,29,MALE
3381,27,FEMALE
3021,33,MALE
2308,54,FEMALE
2880,37,MALE
3089,32,MALE
3563,23,MALE
4029,30,MALE
2897,36,FEMALE
3108,32,MALE
2776,39,MALE
3921,14,MALE
2745,39,MALE
3092,32,FEMALE
2705,40,MALE
3154,31,MALE
3430,26,MALE
3918,14,MALE
3221,30,MALE
2417,50,MALE
3105,32,FEMALE
2825,38,FEMALE
3284,29,MALE
2833,37,FEMALE
3793,19,MALE
3849,17,MALE
3007,33,MALE
3251,29,MALE
3252,29,MALE
3438,26,FEMALE
2915,36,MALE
2890,36,MALE
2858,37,MALE
3734,20,MALE
3104,32,MALE
3193,30,MALE
3113,31,MALE
5454,30,MALE
2781,39,MALE
2314,54,FEMALE
3487,25,MALE
3133,31,MALE
3265,29,FEMALE
3263,29,MALE
2791,38,MALE
3267,29,MALE
3301,29,MALE
3512,24,MALE
3881,16,MALE
2804,37,MALE
3345,28,MALE
3186,31,MALE
3802,18,MALE
3391,27,MALE
3799,18,MALE
2364,52,MALE
3916,14,MALE
3481,25,FEMALE
3775,19,MALE
2900,36,MALE
3276,29,MALE
3530,24,MALE
4048,UNKNOWN,MALE
3554,24,MALE
2311,54,MALE
2664,42,MALE
3732,20,MALE
2286,55,MALE
3116,32,MALE
3527,24,FEMALE
3177,30,MALE
3888,16,MALE
3461,25,MALE
3694,21,MALE
2507,46,MALE
3332,28,FEMALE
3520,24,MALE
3823,18,MALE
3630,22,FEMALE
3491,25,MALE
3017,33,MALE
3594,23,MALE
3657,21,MALE
2958,35,MALE
3580,23,FEMALE
2859,37,MALE
2615,43,FEMALE
2603,43,MALE
2213,60,FEMALE
2754,39,MALE
3281,29,MALE
3420,27,MALE
3875,16,MALE
3904,15,MALE
2199,60,MALE
2419,49,FEMALE
3932,12,MALE
2270,56,MALE
3242,30,MALE
2886,36,MALE
2998,34,FEMALE
3872,16,FEMALE
2955,35,MALE
3747,20,FEMALE
3589,23,FEMALE
3861,16,FEMALE
