PID,year,state_abbr,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault
1980-AK,1980,AK,440142,1919,39,250.0,,360,1270
1980-AL,1980,AL,3861466,17320,509,1158.0,,5102,10551
1980-AR,1980,AR,2284037,7656,210,609.0,,1848,4989
1980-AZ,1980,AZ,2715357,17673,279,1227.0,,5258,10909
1980-CA,1980,CA,23532680,210290,3411,13693.0,,90420,102766
1980-CO,1980,CO,2878407,15215,198,1510.0,,4608,8899
1980-CT,1980,CT,3095224,12768,146,670.0,,6749,5203
1980-DC,1980,DC,635233,12772,200,439.0,,8897,3236
1980-DE,1980,DE,594779,2824,41,144.0,,815,1824
1980-FL,1980,FL,9567112,94095,1387,5439.0,,34015,53254
1980-GA,1980,GA,5400851,29993,743,2391.0,,10670,16189
1980-HI,1980,HI,964680,2889,84,335.0,,1835,635
1980-IA,1980,IA,2907804,5826,63,416.0,,1596,3751
1980-ID,1980,ID,943629,2957,29,211.0,,442,2275
1980-IL,1980,IL,11355062,91753,1205,3950.0,,41675,44923
1980-IN,1980,IN,5461103,20633,485,1808.0,,7720,10620
1980-KS,1980,KS,2354783,9168,163,742.0,,2664,5599
1980-KY,1980,KY,3641479,9711,321,698.0,,3468,5224
1980-LA,1980,LA,4199542,27926,661,1867.0,,8271,17127
1980-MA,1980,MA,5728288,34444,232,1562.0,,13492,19158
1980-MD,1980,MD,4192211,35735,399,1681.0,,16461,17194
1980-ME,1980,ME,1123670,2173,32,145.0,,346,1650
1980-MI,1980,MI,9228128,59014,940,4304.0,,22519,31251
1980-MN,1980,MN,4061235,9250,106,942.0,,4025,4177
1980-MO,1980,MO,4901288,27177,544,1600.0,,10958,14075
1980-MT,1980,MT,781592,1740,31,164.0,,266,1279
1980-NC,1980,NC,5843665,26589,619,1324.0,,4810,19836
1980-ND,1980,ND,652437,352,8,62.0,,50,232
1980-NE,1980,NE,1563921,3512,69,363.0,,1286,1794
1980-NH,1980,NH,919114,1653,23,159.0,,386,1085
1980-NJ,1980,NJ,7342164,44373,504,2257.0,,22299,19313
1980-NM,1980,NM,1295474,7967,170,561.0,,1657,5579
1980-NV,1980,NV,800312,7304,160,538.0,,3686,2920
1980-NY,1980,NY,17506690,180235,2228,5405.0,,112273,60329
1980-OH,1980,OH,10766808,53646,871,3696.0,,24082,24997
1980-OK,1980,OK,3001252,12589,299,1088.0,,3147,8055
1980-OR,1980,OR,2610477,12802,132,1084.0,,3978,7608
1980-PA,1980,PA,11824220,43032,809,2722.0,,21039,18462
1980-RI,1980,RI,945835,3864,42,162.0,,1122,2538
1980-SC,1980,SC,3064557,20225,348,1148.0,,3620,15109
1980-SD,1980,SD,688217,873,5,86.0,,138,644
1980-TN,1980,TN,4545590,20824,489,1700.0,,8208,10427
1980-TX,1980,TX,14169829,77978,2392,6700.0,,29547,39339
