CID,Number,dateReported,startDate,offenseCode,offenseDescription,streetAddress,cityDescription,stateDescription,zipCode,longitude,latitude,Booked,DAComplaint,Cited,burglaryFactor,felonyMisdemeanor,dateIncident,weekNumber,involvementType,personID,age,sex
MP20002192 - 460 (A) PC,MP20002192,"Jan 23, 2020, 8:45:57 AM","Jan 22, 2020, 5:30:00 PM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1431 W ROSEBURG AVE,MODESTO,CALIFORNIA,95350,-121.0164708,37.66066716,0,0,0,RESIDENCE - NIGHT (6PM - 6AM),FELONY,1/23/2020,10,VICTIM,4001,71,FEMALE
MP20003923 - 10851 VC,MP20003923,"Feb 8, 2020, 1:04:00 PM","Feb 8, 2020, 12:40:32 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1431 W ROSEBURG AVE,MO,NULL,95350,-121.0164578,37.66066212,1,0,0,NULL,FELONY,2/8/2020,12,VICTIM,4001,71,FEMALE
MP20008692 - 460 (A) PC,MP20008692,"Mar 25, 2020, 6:50:38 AM","Mar 25, 2020, 6:50:38 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1031 DOUGLAS AVE,MO,NULL,95350,-120.9958968,37.65871514,0,0,0,RESIDENCE - DAY (6AM - 6PM),FELONY,3/25/2020,19,VICTIM,4002,69,MALE
MP20008983 - 460 (A) PC,MP20008983,"Mar 28, 2020, 11:31:23 AM","Mar 28, 2020, 11:31:23 AM",460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187,1031 DOUGLAS AVE,MODESTO,CALIFORNIA,95350,-120.9959098,37.65872017,0,0,0,RESIDENCE - UNKNOWN,FELONY,3/28/2020,19,VICTIM,4002,69,MALE
MP20005934 - 460(B) PC,MP20005934,"Feb 27, 2020, 9:09:29 AM","Feb 26, 2020, 9:00:00 PM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1310 OREGON DR,MODESTO,CALIFORNIA,95354,-120.9741204,37.63082409,0,0,0,NULL,FELONY,2/27/2020,15,VICTIM,4003,65,MALE
MP20006805 - 10851 VC,MP20006805,"Mar 5, 2020, 3:08:09 PM","Mar 5, 2020, 3:08:09 PM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1700 COFFEE RD,MODESTO,CALIFORNIA,95355,-120.9744883,37.66874069,0,0,0,NULL,FELONY,3/5/2020,16,VICTIM,4003,65,MALE
MP20011455 - 460(B) PC,MP20011455,"Apr 24, 2020, 1:53:00 PM","Apr 24, 2020, 1:00:00 AM",460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190,1416 RAQUEL LN,MODESTO,CALIFORNIA,95355,-120.9408065,37.66385514,0,0,0,NULL,FELONY,4/24/2020,23,VICTIM,4004,63,MALE
MP20009479 - 243 (E)(1) PC,MP20009479,"Apr 2, 2020, 6:58:54 PM","Apr 2, 2020, 6:58:54 PM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MODESTO,CALIFORNIA,95350,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,4/2/2020,20,SUSPECT,4005,63,MALE
MP20011202 - 460 (B) PC,MP20011202,"Apr 22, 2020, 9:06:34 AM","Apr 22, 2020, 9:06:34 AM",460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188,431 12TH ST,MODESTO,CALIFORNIA,95354,-120.9926585,37.63687878,1,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY,4/22/2020,23,SUSPECT,4006,62,FEMALE
MP20011357 - 243 (E)(1) PC,MP20011357,"Apr 23, 2020, 2:03:39 PM","Apr 23, 2020, 2:03:39 PM",243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193,Confidential Location,MO,NULL,95351,Confidential Location,Confidential Location,1,0,0,NULL,MISDEMEANOR,4/23/2020,23,SUSPECT,4007,61,FEMALE
MP20002199 - 273.5 (A) PC,MP20002199,"Jan 23, 2020, 10:53:01 AM","Jan 20, 2020, 9:01:00 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MO,NULL,95351,Confidential Location,Confidential Location,0,0,0,NULL,FELONY,1/23/2020,10,VICTIM,4007,61,FEMALE
MP20008649 - 273.5 (A) PC,MP20008649,"Mar 24, 2020, 4:32:47 PM","Mar 24, 2020, 1:00:00 PM",273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483,Confidential Location,MODESTO,CALIFORNIA,95355,Confidential Location,Confidential Location,1,0,0,NULL,FELONY,3/24/2020,19,SUSPECT,4008,61,MALE
MP20008649 - 245 (A)(2) PC,MP20008649,"Mar 24, 2020, 4:32:47 PM","Mar 24, 2020, 1:00:00 PM",245 (A)(2) PC,245 (A)(2) PC ASSAULT WITH FIREARM ON PERSON: FELONY 04 Aggravated Assault 1233,3800 BANYAN TREE DR,MODESTO,CALIFORNIA,95355,-120.9257264,37.67576003,1,0,0,NULL,FELONY,3/24/2020,19,SUSPECT,4008,61,MALE
MP20009790 - 245 (A)(1) PC,MP20009790,"Apr 7, 2020, 12:30:19 AM","Apr 7, 2020, 12:30:19 AM",245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: MISD 04 Aggravated Assault 1230,416 6TH ST,MODESTO,CALIFORNIA,95354,-120.9974007,37.63247537,1,0,0,NULL,MISDEMEANOR,4/7/2020,21,SUSPECT,4009,60,FEMALE
MP20004145 - 211 PC,MP20004145,"Feb 11, 2020, 1:14:37 AM","Feb 11, 2020, 1:10:00 AM",211 PC,211 PC ROBBERY 03 Robbery 853,2130 CORNWELL AVE,MODESTO,CALIFORNIA,95350,-121.0333614,37.67616856,0,0,0,NULL,FELONY,2/11/2020,13,VICTIM,4010,60,MALE
MP20010562 - 211 PC,MP20010562,"Apr 15, 2020, 6:35:05 PM","Apr 15, 2020, 6:35:05 PM",211 PC,211 PC ROBBERY 03 Robbery 853,1007 YOSEMITE BLVD,MODESTO,CALIFORNIA,95354,-120.9774746,37.63848915,0,0,0,NULL,FELONY,4/15/2020,22,VICTIM,4011,60,MALE
MP20009021 - 211 PC,MP20009021,"Mar 28, 2020, 6:44:08 PM","Mar 28, 2020, 6:44:08 PM",211 PC,211 PC ROBBERY 03 Robbery 853,832 OAKDALE RD,MO,NULL,NULL,-120.9565192,37.65425564,1,0,0,NON-RESIDENCE - NIGHT (6PM - 6AM),FELONY,3/28/2020,19,SUSPECT,4012,60,MALE
MP20003910 - 484 (A) PC,MP20003910,"Feb 8, 2020, 9:53:17 AM","Feb 8, 2020, 6:14:00 AM",484 (A) PC,484 (A) PC PETTY THEFT: MISD 06 Theft 2252,1708 CORTEZ CT,MODESTO,CALIFORNIA,95355,-120.9681558,37.67277286,0,0,0,NULL,MISDEMEANOR,2/8/2020,12,VICTIM,4013,60,MALE
MP20002050 - 10851 VC,MP20002050,"Jan 22, 2020, 6:05:00 AM","Jan 22, 2020, 12:30:00 AM",10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44,1317 BOWEN AVE,MO,NULL,95350,-121.0139874,37.6751352,0,0,0,NULL,FELONY,1/22/2020,10,VICTIM,4014,60,MALE
