Penal_Code,Penal_Desc
10851 VC,10851 VC AUTO THEFT 07 Motor Vehicle Theft 44
187 (A) PC,187 (A) PC MURDER 01a. Criminal Homicide: Murder and Negligent Manslaughter 767
203 PC,203 PC MAYHEM 04 Aggravated Assault 824
211 PC,211 PC ROBBERY 03 Robbery 853
212.5 (A) PC,212.5 (A) PC ROBBERY:FIRST DEGREE:CAB/ETC/INHABITED DWELLING 03 Robbery 860
215 (A) PC,215 (A) PC CARJACKING 03 Robbery 937
243 (D) PC,243 (D) PC BATTERY W/SERIOUS BODILY INJURY: FELONY 04 Aggravated Assault 1192
243 (E)(1) PC,243 (E)(1) PC BATTERY ON NONCOHABITATING FORMER SPOUSE/ETC 09 Other Assaults 1193
243.3 PC,243.3 PC BATTERY ON TRANSPORTATION PERSONNEL / PASSENGER: MISD 04 Aggravated Assault 1195
243.4 (A) PC,243.4 (A) PC SEXUAL BATTERY: FELONY 04 Aggravated Assault 1199
243.4 (D) PC,243.4 (D) PC SEXUAL BATTERY FOR THE PURPOSE OF SEXUAL AROUSAL: FELONY 04 Aggravated Assault 1205
244 PC,244 PC ASSAULT WITH CAUSTIC CHEMICAL/ETC 04 Aggravated Assault 1217
245 (A)(1) PC,245 (A)(1) PC FORCE OR ADW NOT FIREARM:GBI LIKELY: FELONY 04 Aggravated Assault 1231
245 (A)(2) PC,245 (A)(2) PC ASSAULT WITH FIREARM ON PERSON: FELONY 04 Aggravated Assault 1233
245 (A)(4) PC,245 (A)(4) PC ASSAULT WITH DEADLY WEAPON:  POSSIBLE GBI: FELONY 04 Aggravated Assault 1236
273.5 (A) PC,273.5 (A) PC INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT 04 Aggravated Assault 1483
273.5 (F)(1) PC,273.5 (F)(1) PC INFLICT CORPORAL INJURY ON SPOUSE/COHAB/GRLFRND W/ PRIORS: FELONY 04 Aggravated Assault 3126
451 (D) PC,451 (D) PC ARSON:PROPERTY 08 Arson 2137
460 (A) PC,460 (A) PC BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2187
460 (B) PC,460 (B) PC BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2188
460(B) PC,460(B) PC BURGLARY: VEHICLE/LARCENY 06 Theft 2190
463 (A) PC,463 (A) PC BURGLARY/ETC DURING STATE OF EMERGENCY/ETC 05 Burglary - Breaking & Entering 2194
463 (B) PC,463 (B) PC GRAND THEFT DURING STATE OF EMERGENCY/ETC 06 Theft 2195
463 (C) PC,463 (C) PC PETTY THEFT:DURING STATE OF EMERGENCY/ETC 06 Theft 2196
484 (A) PC,484 (A) PC PETTY THEFT: MISD 06 Theft 2252
487 (A) PC,487 (A) PC GRAND THEFT:MONEY/LABOR/PROPERTY OVER $400: FELONY 06 Theft 2284
487 (B)(3) PC,487 (B)(3) PC GRAND THEFT BY SERVANT/ETC ($400 OR MORE): FELONY 06 Theft 2287
487 (C) PC,487 (C) PC GRAND THEFT FROM PERSON: FELONY 06 Theft 2289
487 (D) PC,487 (D) PC GRAND THEFT:AUTO 07 Motor Vehicle Theft 2304
487 (D)(2) PC,487 (D)(2) PC GRAND THEFT:  FIREARM  06 Theft 2292
488 PC,488 PC PETTY THEFT 06 Theft 2305
664 /187 (A) PC,664 /187 (A) PC ATTEMPTED MURDER 04 Aggravated Assault 2897
664 /211 PC,664 /211 PC ATTEMPTED ROBBERY 03 Robbery 2900
664 /212.5 (A) PC,664 /212.5 (A) PC ATTEMPTED ROBBERY:FIRST DEGREE 03 Robbery 2901
664 /261 PC,664 /261 PC ATTEMPTED RAPE 02b. Attempts to Commit Rape 2903
664 /460 (A) PC,664 /460 (A) PC ATTEMPTED BURGLARY:FIRST DEGREE 05 Burglary - Breaking & Entering 2911
664 /460 (B) PC,664 /460 (B) PC ATTEMPTED BURGLARY:SECOND DEGREE: FELONY 05 Burglary - Breaking & Entering 2912
664 /460 PC,664 /460 PC ATTEMPTED BURGLARY:UNSPECIFIED 05 Burglary - Breaking & Entering 2913
