personID,age,sex
4001,71,FEMALE
4002,69,MALE
4003,65,MALE
4004,63,MALE
4005,63,MALE
4006,62,FEMALE
4007,61,FEMALE
4008,61,MALE
4009,60,FEMALE
4010,60,MALE
4011,60,MALE
4012,60,MALE
4013,60,MALE
4014,60,MALE
4015,60,MALE
4016,60,FEMALE
4017,59,FEMALE
4018,58,MALE
4019,58,FEMALE
4020,58,FEMALE
4021,58,MALE
4022,57,MALE
4023,56,MALE
4024,55,FEMALE
4025,55,MALE
4026,55,FEMALE
4027,54,FEMALE
4028,54,FEMALE
4029,54,MALE
4030,54,FEMALE
4031,54,MALE
4032,54,FEMALE
4033,54,MALE
4034,54,MALE
4035,53,MALE
4036,53,MALE
4037,53,FEMALE
4038,53,MALE
4039,53,MALE
4040,53,MALE
4041,53,MALE
4042,53,FEMALE
4043,52,FEMALE
4044,52,MALE
4045,51,MALE
4046,51,FEMALE
4047,51,MALE
4048,51,MALE
4049,51,MALE
4050,50,MALE
4051,50,MALE
4052,50,MALE
4053,50,MALE
4054,50,MALE
4055,49,MALE
4056,49,FEMALE
4057,49,FEMALE
4058,49,MALE
4059,49,MALE
4060,48,MALE
4061,49,FEMALE
4062,49,MALE
4063,49,MALE
4064,48,MALE
4065,49,FEMALE
4066,48,MALE
4067,48,FEMALE
4068,48,MALE
4069,48,MALE
4070,48,MALE
4071,47,MALE
4072,47,MALE
4073,47,FEMALE
4074,47,FEMALE
4075,47,MALE
4076,47,MALE
4077,47,MALE
4078,46,MALE
4079,46,FEMALE
4080,46,FEMALE
4081,46,FEMALE
4082,46,MALE
4083,46,MALE
4084,45,MALE
4085,44,MALE
4086,44,MALE
4087,44,MALE
4088,44,MALE
4089,44,MALE
4090,44,FEMALE
4091,44,MALE
4092,44,MALE
4093,44,MALE
4094,44,FEMALE
4095,43,FEMALE
4096,43,MALE
4097,43,FEMALE
4098,43,MALE
4099,43,FEMALE
4100,43,MALE
4101,43,FEMALE
4102,43,MALE
4103,43,FEMALE
4104,43,MALE
4105,43,FEMALE
4106,43,MALE
4107,42,MALE
4108,42,MALE
4109,42,FEMALE
4110,42,MALE
4111,42,FEMALE
4112,42,MALE
4113,42,MALE
4114,42,MALE
4115,42,MALE
4116,42,FEMALE
4117,42,FEMALE
4118,41,FEMALE
4119,41,MALE
4120,41,MALE
4121,41,FEMALE
4122,41,FEMALE
4123,41,FEMALE
4124,41,MALE
4125,41,MALE
4126,41,FEMALE
4127,41,MALE
4128,40,MALE
4129,40,FEMALE
4130,40,FEMALE
4131,40,MALE
4132,40,MALE
4133,40,MALE
4134,40,MALE
4135,40,MALE
4136,40,FEMALE
4137,40,MALE
4138,40,FEMALE
4139,40,MALE
4140,40,FEMALE
4141,40,MALE
4142,39,FEMALE
4143,39,FEMALE
4144,39,FEMALE
4145,39,MALE
4146,39,FEMALE
4147,39,FEMALE
4148,39,FEMALE
4149,39,MALE
4150,39,FEMALE
4151,39,FEMALE
4152,39,FEMALE
4153,39,FEMALE
4154,39,MALE
4155,39,MALE
4156,39,MALE
4157,39,FEMALE
4158,38,FEMALE
4159,39,FEMALE
4160,38,MALE
4161,38,MALE
4162,38,MALE
4163,38,MALE
4164,38,MALE
4165,38,FEMALE
4166,38,FEMALE
4167,38,FEMALE
4168,38,FEMALE
4169,38,MALE
4170,37,FEMALE
4171,38,FEMALE
4172,38,MALE
4173,38,FEMALE
4174,38,MALE
4175,38,MALE
4176,38,MALE
4177,37,MALE
4178,38,FEMALE
4179,38,MALE
4180,38,MALE
4181,37,FEMALE
4182,38,MALE
4183,37,MALE
4184,38,MALE
4185,37,MALE
4186,38,MALE
4187,37,FEMALE
4188,37,MALE
4189,37,MALE
4190,37,MALE
4191,37,FEMALE
4192,37,FEMALE
4193,37,FEMALE
4194,37,FEMALE
4196,37,MALE
4197,37,MALE
4198,37,MALE
4199,37,MALE
4200,37,MALE
4201,37,FEMALE
4202,37,MALE
4203,37,MALE
4204,37,MALE
4205,37,MALE
4206,37,FEMALE
4207,37,MALE
4208,37,MALE
4209,37,MALE
4210,37,MALE
4211,37,FEMALE
4213,36,FEMALE
4214,36,FEMALE
4215,36,FEMALE
4216,36,MALE
4217,36,MALE
4218,36,MALE
4219,36,MALE
4220,36,FEMALE
4221,36,MALE
4222,36,FEMALE
4223,36,FEMALE
4224,36,MALE
4225,36,FEMALE
4226,36,MALE
4227,36,MALE
4228,36,MALE
4229,35,FEMALE
4230,35,FEMALE
4231,35,MALE
4232,35,MALE
4233,35,MALE
4234,35,FEMALE
4235,35,FEMALE
4236,35,FEMALE
4237,35,MALE
4238,35,MALE
4239,35,FEMALE
4240,35,FEMALE
4241,35,MALE
4242,35,MALE
4243,35,MALE
4244,35,MALE
4245,35,MALE
4246,35,MALE
4247,35,MALE
4248,35,FEMALE
4249,35,MALE
4250,34,MALE
4251,34,FEMALE
4252,34,FEMALE
4253,34,MALE
4254,34,MALE
4255,34,MALE
4256,34,MALE
4257,34,MALE
4258,34,MALE
4259,34,MALE
4260,34,FEMALE
4261,34,FEMALE
4262,34,MALE
4263,33,FEMALE
4264,33,FEMALE
4265,33,MALE
4266,33,MALE
4267,33,MALE
4268,33,MALE
4269,33,MALE
4270,33,MALE
4271,33,MALE
4272,33,FEMALE
4273,33,MALE
4274,33,MALE
4275,33,MALE
4276,33,FEMALE
4277,33,FEMALE
4278,32,FEMALE
4279,32,MALE
4280,32,FEMALE
4281,31,MALE
4282,32,FEMALE
4283,32,MALE
4284,32,MALE
4285,32,MALE
4286,32,MALE
4287,32,FEMALE
4288,32,MALE
4289,32,MALE
4290,31,FEMALE
4291,31,FEMALE
4292,31,MALE
4293,31,MALE
4294,31,FEMALE
4295,31,FEMALE
4296,31,MALE
4297,31,FEMALE
4298,30,FEMALE
4299,31,MALE
4300,30,MALE
4301,30,MALE
4302,30,MALE
4303,31,FEMALE
4304,30,MALE
4305,30,FEMALE
4306,30,MALE
4307,30,FEMALE
4308,30,FEMALE
4309,30,FEMALE
4310,30,MALE
4311,30,MALE
4312,30,MALE
4313,30,MALE
4314,30,MALE
4315,30,MALE
4316,30,FEMALE
4317,30,FEMALE
4318,30,FEMALE
4319,30,MALE
4320,30,MALE
4321,30,MALE
4322,30,MALE
4323,30,FEMALE
4324,30,FEMALE
4325,29,MALE
4326,29,MALE
4327,29,FEMALE
4328,29,FEMALE
4329,29,MALE
4330,29,FEMALE
4331,29,MALE
4332,29,MALE
4333,29,MALE
4334,29,FEMALE
4335,29,FEMALE
4336,29,MALE
4337,29,FEMALE
4338,29,MALE
4339,29,MALE
4340,29,FEMALE
4341,29,FEMALE
4342,29,FEMALE
4343,29,FEMALE
4344,29,FEMALE
4345,29,MALE
4346,29,MALE
