year,state_abbr,type,population,incidents,unemp
1980,AK,homicide,440142,39,0.096
1980,AL,homicide,3861466,509,0.089
1980,AR,homicide,2284037,210,0.075
1980,AZ,homicide,2715357,279,0.066
1980,CA,homicide,23532680,3411,0.068
1980,CO,homicide,2878407,198,0.058
1980,CT,homicide,3095224,146,0.058
1980,DC,homicide,635233,200,0.074
1980,DE,homicide,594779,41,0.076
1980,FL,homicide,9567112,1387,0.061
1980,GA,homicide,5400851,743,0.063
1980,HI,homicide,964680,84,0.05
1980,IA,homicide,2907804,63,0.06
1980,ID,homicide,943629,29,0.075
1980,IL,homicide,11355062,1205,0.081
1980,IN,homicide,5461103,485,0.096
1980,KS,homicide,2354783,163,0.045
1980,KY,homicide,3641479,321,0.079
1980,LA,homicide,4199542,661,0.069
1980,MA,homicide,5728288,232,0.056
1980,MD,homicide,4192211,399,0.066
1980,ME,homicide,1123670,32,0.076
1980,MI,homicide,9228128,940,0.123
1980,MN,homicide,4061235,106,0.058
1980,MO,homicide,4901288,544,0.072
1980,MT,homicide,781592,31,0.061
1980,NC,homicide,5843665,619,0.064
1980,ND,homicide,652437,8,0.049
1980,NE,homicide,1563921,69,0.039
1980,NH,homicide,919114,23,0.045
1980,NJ,homicide,7342164,504,0.072
1980,NM,homicide,1295474,170,0.076
1980,NV,homicide,800312,160,0.062
1980,NY,homicide,17506690,2228,0.075
1980,OH,homicide,10766808,871,0.084
1980,OK,homicide,3001252,299,0.044
1980,OR,homicide,2610477,132,0.085
1980,PA,homicide,11824220,809,0.08
1980,RI,homicide,945835,42,0.072
1980,SC,homicide,3064557,348,0.067
1980,SD,homicide,688217,5,0.048
1980,TN,homicide,4545590,489,0.074
1980,TX,homicide,14169829,2392,0.051
1980,UT,homicide,1458729,55,0.062
1980,VA,homicide,5323412,459,0.052
1980,VT,homicide,511299,11,0.062
1980,WA,homicide,4113331,225,0.081
1980,WI,homicide,4680917,136,0.072
1980,WV,homicide,1930787,138,0.095
1980,WY,homicide,468954,29,0.038
1981,AK,homicide,412000,60,0.094
1981,AL,homicide,3916000,465,0.105
1981,AR,homicide,2294000,209,0.088
1981,AZ,homicide,2793000,227,0.062
1981,CA,homicide,24159000,3143,0.074
1981,CO,homicide,2963000,239,0.058
1981,CT,homicide,3132000,168,0.062
1981,DC,homicide,636000,223,0.089
1981,DE,homicide,598000,40,0.079
1981,FL,homicide,10166000,1522,0.067
1981,GA,homicide,5569000,960,0.064
1981,HI,homicide,979000,47,0.054
1981,IA,homicide,2897000,76,0.066
1981,ID,homicide,959000,43,0.078
1981,IL,homicide,11455000,1205,0.085
1981,IN,homicide,5466000,388,0.099
1981,KS,homicide,2381000,151,0.043
1981,KY,homicide,3661000,308,0.086
