personID,Age,Sex
2938,35,FEMALE
2855,37,FEMALE
2399,50,MALE
3638,22,FEMALE
3885,15,FEMALE
2546,45,FEMALE
2541,45,MALE
3994,UNKNOWN,FEMALE
4010,Unknown,FEMALE
4027,Unknown,MALE
4037,Unknown,FEMALE
4057,Unknown,FEMALE
3329,28,MALE
3992,Unknown,MALE
3721,20,MALE
2175,61,MALE
2752,39,FEMALE
3024,33,FEMALE
4097,Unknown,MALE
3111,32,MALE
2193,60,MALE
2414,50,FEMALE
2009,83,FEMALE
2671,41,FEMALE
3834,17,FEMALE
2166,62,MALE
3769,19,FEMALE
2171,61,FEMALE
2347,53,MALE
2232,58,FEMALE
4488,Unknown,UNKNOWN
3875,16,MALE
3013,33,MALE
2504,46,MALE
3498,25,FEMALE
3681,21,FEMALE
2025,77,MALE
2966,34,MALE
2563,44,FEMALE
3343,28,FEMALE
2746,39,MALE
2288,55,MALE
2891,36,MALE
3192,30,MALE
5475,28,FEMALE
2580,44,FEMALE
2950,35,FEMALE
2959,34,MALE
3492,25,MALE
3290,29,FEMALE
3302,29,MALE
2794,38,MALE
4056,Unknown,FEMALE
2936,35,MALE
2583,44,MALE
3147,31,MALE
2485,47,FEMALE
3376,27,FEMALE
3818,18,FEMALE
2963,34,FEMALE
4008,Unknown,MALE
4070,Unknown,MALE
2438,49,MALE
4049,Unknown,MALE
3416,26,FEMALE
3966,3,FEMALE
3979,7-364 Days Old,MALE
4024,Unknown,MALE
2842,37,MALE
3963,5,FEMALE
3952,7,FEMALE
4023,Unknown,FEMALE
2688,41,MALE
3862,16,FEMALE
2240,58,MALE
2327,53,MALE
2303,54,FEMALE
2335,53,MALE
3325,28,FEMALE
3271,29,FEMALE
2743,39,FEMALE
2768,39,MALE
2628,43,MALE
3216,30,FEMALE
3051,33,MALE
2032,76,MALE
2145,64,FEMALE
2968,34,MALE
3939,10,FEMALE
3946,9,FEMALE
2744,39,MALE
2658,42,FEMALE
3545,24,FEMALE
2328,53,MALE
3975,1,FEMALE
2857,37,FEMALE
2294,55,FEMALE
3566,23,MALE
2545,45,FEMALE
2331,53,MALE
3169,31,MALE
3378,27,FEMALE
3040,33,MALE
2986,34,MALE
3280,29,MALE
3063,32,MALE
2337,52,MALE
3645,22,FEMALE
2455,48,MALE
3945,9,MALE
3969,2,FEMALE
3964,3,FEMALE
2469,47,FEMALE
2121,66,MALE
4032,Unknown,MALE
3684,21,FEMALE
2277,56,FEMALE
2467,47,MALE
3617,22,MALE
3581,23,FEMALE
2740,39,FEMALE
2216,59,MALE
2510,46,FEMALE
3576,23,MALE
2007,84,MALE
3131,31,FEMALE
3142,31,MALE
3187,30,MALE
3674,21,MALE
4485,Unknown,UNKNOWN
2636,42,MALE
2429,49,FEMALE
2961,34,FEMALE
